Bank information,,,,,,,Mandatory criteria,,,,,,,,,,,,,Additional capabilities (non-mandatory for certification),,,,,,,,,,,,,,,,,,,,,,,,,
BIC of the mother organisation,BIC8 (branch BIC),Name of the mother organisation,Name of BIC8 (Branch Name),Country,Country code,Certification,SCORE,Credit Transfers (MT101),Payments pain.001 ISO 20022 (advanced certification only),Cash Reporting (MT940),MT 942 (advanced certification only),Cash Management camt.053 ISO 20022 (advanced certification only),File Act (RT or S&F),Testing,Onboarding guide,Support,Staff trained,Documentation,Contact email,gpi,,Treasury (MT),,Cash Management (MT),,Trade MT798,,,,Trade FA,Payments (ISO20022),,Cash Management (ISO20022),,,eStatements (PDF),Bank Account Management (ISO20022),CGI-MP guidelines,3SKey,,MyStandards,,TSU / BPO,Staff certified,Hyperlink to bank's webpage
CITIUS33,CITITTPS,CITIBANK N.A.,CITIGROUP NA,Trinidad and Tobago,TT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,rene.schuurman@citi.com,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,https://www.citibank.com/tts/solutions/channel_services/index.html
CITIUS33,CITIRUMX,CITIBANK N.A.,"ZAO CITIBANK, MOSCOW",Russia,RU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,rene.schuurman@citi.com,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,https://www.citibank.com/tts/solutions/channel_services/index.html
CMBCCNBS,CMBCCNBS,CHINA MERCHANTS BANK H.O.,CHINA MERCHANTS BANK H.O.,China,CN,advanced,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,tianlie76@cmbchina.com,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.cmbchina.com/corporate/cashmanagement/CashMgInfo.aspx?guid=985e99f2-49e9-479e-a7df-530f3926c216
CMCIFRPA,CMCIFRPA,CREDIT MUTUEL - CIC BANQUES,CREDIT MUTUEL - CIC BANQUES,France,FR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,https://www.cic.fr/fr/banques/entreprises/swifnet_gerer-vos-comptes-dans-plusieurs-pays.html
CMCIFRPA,CMCIFR2A,CREDIT MUTUEL - CIC BANQUES,CAISSE FEDERALE DE CREDIT MUTUEL,France,FR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,https://www.creditmutuel.fr/becm/fr/banques/entreprises/moyens-de-paiement/bad/swiftnet.html
CMCIFRPA,CMCIFRPP,CREDIT MUTUEL - CIC BANQUES,CM - CIC BANQUES,France,FR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,https://www.creditmutuel.fr/becm/fr/banques/entreprises/moyens-de-paiement/bad/swiftnet.html
COBADEFF,COBASKBX,COMMERZBANK AG,COMMERZBANK,Slovakia,SK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,corporate.swift.access@commerzbank.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,http://www.commerzbank.de/swift
COBADEFF,COBACZPX,COMMERZBANK AG,COMMERZBANK AG,Czech Republic,CZ,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,corporate.swift.access@commerzbank.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,http://www.commerzbank.de/swift
COBADEFF,COBADEFF,COMMERZBANK AG,COMMERZBANK AG,Germany,DE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,corporate.swift.access@commerzbank.com,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,yes,http://www.commerzbank.de/swift
COBADEFF,COBABEBX,COMMERZBANK AG,COMMERZBANK AG,Belgium,BE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,corporate.swift.access@commerzbank.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,yes,http://www.commerzbank.de/swift
COBADEFF,COBAITMM,COMMERZBANK AG,COMMERZBANK AG,Italy,IT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,corporate.swift.access@commerzbank.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,http://www.commerzbank.de/swift
COBADEFF,COBAFRPX,COMMERZBANK AG,COMMERZBANK AG,France,FR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,corporate.swift.access@commerzbank.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,http://www.commerzbank.de/swift
COBADEFF,COBAATWX,COMMERZBANK AG,COMMERZBANK AG,Austria,AT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,corporate.swift.access@commerzbank.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,yes,http://www.commerzbank.de/swift
COBADEFF,COBANL2X,COMMERZBANK AG,COMMERZBANK AG,Netherlands,NL,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,corporate.swift.access@commerzbank.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,no,http://www.commerzbank.de/swift
COBADEFF,COBACHZH,COMMERZBANK AG,COMMERZBANK AG,Switzerland,CH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,corporate.swift.access@commerzbank.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,http://www.commerzbank.de/swift
COBADEFF,COBAESMX,COMMERZBANK AG,COMMERZBANK AG,Spain,ES,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,corporate.swift.access@commerzbank.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,http://www.commerzbank.de/swift
COBADEFF,COBAHUHX,COMMERZBANK AG,COMMERZBANK AG,Hungary,HU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,corporate.swift.access@commerzbank.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,http://www.commerzbank.de/swift
COBADEFF,COBACNSX,COMMERZBANK AG,COMMERZBANK AG,China,CN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,corporate.swift.access@commerzbank.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,http://www.commerzbank.de/swift
COBADEFF,COBAHKHX,COMMERZBANK AG,COMMERZBANK AG,Hong Kong,HK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,corporate.swift.access@commerzbank.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,http://www.commerzbank.de/swift
COBADEFF,COBASGSX,COMMERZBANK AG,COMMERZBANK AG,Singapore,SG,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,corporate.swift.access@commerzbank.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,http://www.commerzbank.de/swift
COBADEFF,COBALULU,COMMERZBANK AG,COMMERZBANK AG,Luxembourg,LU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,corporate.swift.access@commerzbank.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,http://www.commerzbank.de/swift
COBADEFF,COBAUS3X,COMMERZBANK AG,COMMERZBANK AG,United States,US,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,corporate.swift.access@commerzbank.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,http://www.commerzbank.de/swift
COBADEFF,COBAJPJX,COMMERZBANK AG,COMMERZBANK AG,Japan,JP,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,corporate.swift.access@commerzbank.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,http://www.commerzbank.de/swift
COBADEFF,COBAGB2X,COMMERZBANK AG,COMMERZBANK AG,United Kingdom,GB,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,corporate.swift.access@commerzbank.com,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,yes,http://www.commerzbank.de/swift
COMMCNSH,COMMCNSH,Bank of Communications,"BANK OF COMMUNICATIONS, CO. LTD.",China,CN,advanced,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,http://www.bankcomm.com/BankCommSite/uploadFiles/SWIFT.1306841037207/index.html?infoId=1303293771100
CREDCLRM,CREDCLRM,BANCO DE CREDITO E INVERSIONES,BANCO DE CREDITO E INVERSIONES,Chile,CL,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,viktor.tapia@bci.cl,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,
CRESCHZZ,CRESCHZZ,CREDIT SUISSE AG,CREDIT SUISSE AG,Switzerland,CH,advanced,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,eb.support@credit-suisse.com,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,http://csintra.net/pb/products/payments/de/zahlungsverkehr/swift_macug/beschreibung.html
CTBAAU2S,CTBAAU2S,Commonwealth Bank of Australia,Commonwealth Bank of Australia SYDNEY,Australia,AU,entry,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,swiftscore@cba.com.au,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,https://www.commbank.com.au/institutional.html
DABADKKK,DABAGB2B,DANSKE BANK A/S,Northern Bank Limited,United_Kingdom,,,no,no,no,no,no,no,no,no,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,
DABADKKK,DABAGB2L,DANSKE BANK A/S,DANSKE BANK,United Kingdom,GB,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,http://danskebank.com/en-uk/ci/Products-Services/Transaction-Services/cashmanagement/Integration-Infrastructure/Pages/Communication-Channels.aspx
DABADKKK,DABADKKK,DANSKE BANK A/S,DANSKE BANK A/S,Denmark,DK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,http://danskebank.com/en-uk/ci/Products-Services/Transaction-Services/cashmanagement/Integration-Infrastructure/Pages/Communication-Channels.aspx
DABADKKK,DABADEHH,DANSKE BANK A/S,Danske Bank A/S,Germany,DE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,http://danskebank.com/en-uk/ci/Products-Services/Transaction-Services/cashmanagement/Integration-Infrastructure/Pages/Communication-Channels.aspx
DABADKKK,DABAIE2D,DANSKE BANK A/S,Danske Bank A/S,Ireland,IE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,http://danskebank.com/en-uk/ci/Products-Services/Transaction-Services/cashmanagement/Integration-Infrastructure/Pages/Communication-Channels.aspx
DABADKKK,DABANO22,DANSKE BANK A/S,Danske Bank A/S,Norway,NO,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,http://danskebank.com/en-uk/ci/Products-Services/Transaction-Services/cashmanagement/Integration-Infrastructure/Pages/Communication-Channels.aspx
DABADKKK,DABAPLPW,DANSKE BANK A/S,Danske Bank A/S,Poland,PL,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,http://danskebank.com/en-uk/ci/Products-Services/Transaction-Services/cashmanagement/Integration-Infrastructure/Pages/Communication-Channels.aspx
DABADKKK,DABASESX,DANSKE BANK A/S,Danske Bank A/S,Sweden,SE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,http://danskebank.com/en-uk/ci/Products-Services/Transaction-Services/cashmanagement/Integration-Infrastructure/Pages/Communication-Channels.aspx
DABADKKK,SMPOLT22,DANSKE BANK A/S,DANSKE BANK A/S LIETUVOS FILIALAS,Lithuania,LT,entry,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,http://danskebank.com/en-uk/ci/Products-Services/Transaction-Services/cashmanagement/Integration-Infrastructure/Pages/Communication-Channels.aspx
DABADKKK,DABAFIHH,DANSKE BANK A/S,Danske Bank Plc,Finland,FI,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,http://danskebank.com/en-uk/ci/Products-Services/Transaction-Services/cashmanagement/Integration-Infrastructure/Pages/Communication-Channels.aspx
DABADKKK,DABAFIHX,DANSKE BANK A/S,"Danske Bank, Helsinki Branch",Finland,FI,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,http://danskebank.com/en-uk/ci/Products-Services/Transaction-Services/cashmanagement/Integration-Infrastructure/Pages/Communication-Channels.aspx
DBSSSGSG,DHBKHKHH,DBS BANK LIMITED,DBS BANK (HONG KONG) LIMITED,Hong Kong,HK,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,jatinpsheth@dbs.com,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,http://www.dbs.com.sg/corporate/cash/electronic-banking/swift
DBSSSGSG,DBSSSGSG,DBS BANK LIMITED,DBS BANK LIMITED,Singapore,SG,advanced,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,jatinpsheth@dbs.com,yes,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,http://www.dbs.com.sg/corporate/cash/electronic-banking/swift
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,United Arab Emirates,AE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Austria,AT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Belgium,BE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK S.A. - BANCO ALEMAO,Brazil,BR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,no,no,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Canada,CA,advanced,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Switzerland,CH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,China,CN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Czech Republic,CZ,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Germany,DE,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Spain,ES,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,France,FR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,United Kingdom,GB,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Hong Kong,HK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Hungary,HU,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Indonesia,ID,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,India,IN,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Italy,IT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Japan,JP,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,"Korea, Republic of",KR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Sri Lanka,LK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,no,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Malaysia,MY,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Netherlands,NL,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Philippines,PH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Pakistan,PK,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,no,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Poland,PL,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Portugal,PT,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Saudi Arabia,SA,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Singapore,SG,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Thailand,TH,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
DEUTDEFF,DEUTDEFF,DEUTSCHE BANK AG,DEUTSCHE BANK A.G.,Turkey,TR,advanced,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,yes,http://www.gtb.db.com/content/en/channel_and_information_solutions.html
